1920 jobs 3123s
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.016490047327285696, 'gain_mean': -0.004599999999999998, 'bias': -0.021090047327285692, 'pass': 1, 'p_lt_05': 4, 'cost_policy': 0.008851066666666667, 'cost_fixed': 0.011384000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06289624161561028, 'gain_mean': 0.03866666666666667, 'bias': -0.02422957494894361, 'pass': 3, 'p_lt_05': 17, 'cost_policy': 0.007704000000000001, 'cost_fixed': 0.011384000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -7.771561172376095e-17, 'gain_mean': -0.0309, 'bias': -0.03089999999999992, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.009518000000000002, 'cost_fixed': 0.011420000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.014397615740311153, 'gain_mean': -0.0038500000000000006, 'bias': -0.01824761574031115, 'pass': 0, 'p_lt_05': 6, 'cost_policy': 0.0089351, 'cost_fixed': 0.011420000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06475625785810112, 'gain_mean': 0.044050000000000006, 'bias': -0.020706257858101096, 'pass': 1, 'p_lt_05': 19, 'cost_policy': 0.0074957999999999995, 'cost_fixed': 0.011420000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 9.992007221626409e-17, 'gain_mean': -0.0218, 'bias': -0.0218000000000001, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.010497266666666668, 'cost_fixed': 0.011872000000000004}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.010528050475742717, 'gain_mean': -0.009666666666666667, 'bias': -0.020194717142409384, 'pass': 0, 'p_lt_05': 6, 'cost_policy': 0.010019, 'cost_fixed': 0.011872000000000004}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.05763888307682889, 'gain_mean': 0.03693333333333334, 'bias': -0.02070554974349556, 'pass': 1, 'p_lt_05': 19, 'cost_policy': 0.007604333333333335, 'cost_fixed': 0.011872000000000004}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.7755575615628914e-17, 'gain_mean': -0.0279, 'bias': -0.027900000000000036, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.009091800000000004, 'cost_fixed': 0.011384000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.033017307715619046, 'gain_mean': 0.004599999999999998, 'bias': -0.02841730771561905, 'pass': 0, 'p_lt_05': 4, 'cost_policy': 0.008915200000000002, 'cost_fixed': 0.011384000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11992566242671512, 'gain_mean': 0.0894, 'bias': -0.030525662426715106, 'pass': 8, 'p_lt_05': 20, 'cost_policy': 0.007622800000000002, 'cost_fixed': 0.011384000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': -1.6653345369377347e-17, 'gain_mean': -0.020666666666666667, 'bias': -0.02066666666666665, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.009145733333333336, 'cost_fixed': 0.011204000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.044779414792977965, 'gain_mean': 0.022266666666666667, 'bias': -0.0225127481263113, 'pass': 0, 'p_lt_05': 13, 'cost_policy': 0.0082932, 'cost_fixed': 0.011204000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.12037654703766758, 'gain_mean': 0.1176, 'bias': -0.002776547037667565, 'pass': 17, 'p_lt_05': 20, 'cost_policy': 0.007377600000000002, 'cost_fixed': 0.011204000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -2.2204460492503132e-17, 'gain_mean': -0.0227, 'bias': -0.022699999999999977, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0093033, 'cost_fixed': 0.011076}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03801153366057692, 'gain_mean': 0.0184, 'bias': -0.01961153366057692, 'pass': 1, 'p_lt_05': 12, 'cost_policy': 0.008616299999999999, 'cost_fixed': 0.011076}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.120424343357539, 'gain_mean': 0.10475000000000001, 'bias': -0.015674343357538967, 'pass': 12, 'p_lt_05': 20, 'cost_policy': 0.0073303, 'cost_fixed': 0.011076}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.2204460492503132e-17, 'gain_mean': -0.021733333333333334, 'bias': -0.021733333333333358, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010229666666666668, 'cost_fixed': 0.011912000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03591020917041031, 'gain_mean': 0.01913333333333333, 'bias': -0.01677687583707698, 'pass': 0, 'p_lt_05': 16, 'cost_policy': 0.008807666666666669, 'cost_fixed': 0.011912000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11207840712659937, 'gain_mean': 0.10859999999999999, 'bias': -0.0034784071265993783, 'pass': 12, 'p_lt_05': 20, 'cost_policy': 0.007332466666666667, 'cost_fixed': 0.011912000000000002}
{'learner': 'P2', 'delta': 3.0, 'rho': 1.0, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.7755575615628914e-17, 'gain_mean': -0.026600000000000002, 'bias': -0.02660000000000003, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009185800000000001, 'cost_fixed': 0.011084000000000002}
